Timestamp,exp_heatgen,heatgen_m6,heatgen_m5,heatgen_m4,heatgen_m3,heatgen_m2,heatgen_m1,exp_flowrate,exp_inlet,m6_in,m6_out,m5_in,m5_out,m4_in,m4_out,m3_in,m3_out,m2_in,m2_out,m1_in,m1_out,exp_outlet,Tamb,DNI
42958,-6.499536775,-0.632197615,-2.680530772,-2.809569914,0.337740484,-0.406671189,-0.308307768,1.605695143,27.22700611,26.75664484,26.66779857,27.01223043,26.63552041,26.54961377,26.15476917,26.11398638,26.16145094,25.97872391,25.92157213,25.88538979,25.84206157,25.84206157,25.17053282,1.171429246
42968,-6.398629627,-0.766015707,-2.632955123,-2.754276426,0.3183665,-0.323291656,-0.240457215,1.605695143,27.24717573,26.81531581,26.70666108,27.06049033,26.68702145,26.60365236,26.21297478,26.16459088,26.20974925,26.03670863,25.99085165,25.94499272,25.9108853,25.9108853,25.34415356,1.125694652
42978,-5.981777098,-0.661542004,-2.640822075,-2.667957638,0.428774559,-0.27290141,-0.167328531,1.739254194,27.26827588,26.8466538,26.75281289,27.10323344,26.7286281,26.63812289,26.25966833,26.21197771,26.27280015,26.08525322,26.04654167,25.98801084,25.96427499,25.96427499,25.47921169,1.131931188
42988,-6.100327348,-0.598845955,-2.645370111,-2.693615677,0.358893328,-0.30372781,-0.217661123,1.73926578,27.26030397,26.85172909,26.76677286,27.12196365,26.74667406,26.65686128,26.27472724,26.23348824,26.2844032,26.10791837,26.06482955,26.01989551,25.98901667,25.98901667,25.58744413,1.185981162
42998,-5.875711773,-0.622884345,-2.538143531,-2.688608816,0.433571754,-0.207888215,-0.25175862,1.739242117,27.25619561,26.87338469,26.78501568,27.13143644,26.77134837,26.67992561,26.29849094,26.25517939,26.31669049,26.12730794,26.0978147,26.04942561,26.01370845,26.01370845,25.8677134,1.091393707
43008,-5.874689815,-0.515275874,-2.617388395,-2.607148044,0.427029964,-0.267950373,-0.293957093,1.739219451,27.27362731,26.87194058,26.79883211,27.16245146,26.7910907,26.70335426,26.33344643,26.28483758,26.34542552,26.16664669,26.12862931,26.08208498,26.04037771,26.04037771,26.12001186,1.126734075
43018,-6.087050079,-0.642020831,-2.63828888,-2.673502239,0.441606845,-0.337752391,-0.237092583,1.739223623,27.27127541,26.90216382,26.81106699,27.17782382,26.80347495,26.72495093,26.3456056,26.30690344,26.36956338,26.19378376,26.14585981,26.11245002,26.07880877,26.07880877,26.34927769,1.115300426
43025,-6.043087116,-0.642013318,-2.656092097,-2.647479918,0.384775592,-0.284161013,-0.198116362,1.73918309,27.27433113,26.901084,26.80998696,27.18226092,26.80538067,26.72846878,26.35281054,26.31503013,26.369627,26.19638177,26.15606138,26.10606199,26.07795071,26.07795071,26.55915531,1.157916752
43028,-5.947163669,-0.611447692,-2.702944114,-2.621325786,0.425335,-0.219194769,-0.217586308,1.739193224,27.27693341,26.93188624,26.84512229,27.21662847,26.83308283,26.75248848,26.38052442,26.33583397,26.39618867,26.21718791,26.18608434,26.14207702,26.11120169,26.11120169,26.55818296,1.144404259
43038,-6.010485354,-0.588957501,-2.668745071,-2.58711333,0.345771524,-0.30685606,-0.204584917,1.73919901,27.28760559,26.93013968,26.84656388,27.22476932,26.84606204,26.76178426,26.3946609,26.35043177,26.39949835,26.24054212,26.19699783,26.15875111,26.12971957,26.12971957,26.55503032,1.172468668
