Timestamp,exp_heatgen,heatgen_m6,heatgen_m5,heatgen_m4,heatgen_m3,heatgen_m2,heatgen_m1,exp_flowrate,exp_inlet,m6_in,m6_out,m5_in,m5_out,m4_in,m4_out,m3_in,m3_out,m2_in,m2_out,m1_in,m1_out,exp_outlet,Tamb,DNI,m2_T_WB,m3_T_WB
52491,-23.82536153,1.280684388,-4.103908884,-7.554912455,-0.343150817,0.398949292,-1.057358613,2.999649126,76.51284367,76.51284367,76.37016345,76.3899811,76.04920802,75.94046544,75.3584937,75.26384794,75.25825422,74.77875987,74.80807107,74.63511246,74.55903737,74.55903737,28.48868446,632.7859137,74.55612997,74.92334109
52501,-23.56567054,1.267813123,-4.034146735,-7.365169294,-0.440792916,0.189708919,-1.325177105,2.999632683,76.48854012,76.48854012,76.35103178,76.36235024,76.0358974,75.9327486,75.35838435,75.2545649,75.2440487,74.78648176,74.79319425,74.63209436,74.55601926,74.55601926,28.11629478,642.1136919,74.60438842,75.01184431
52511,-23.57967977,3.322568479,-4.047914679,-7.331355196,-0.276180219,0.351502894,-1.185628045,2.999493363,76.47898734,76.47898734,76.33194917,76.34350368,76.00832472,75.89823972,75.32566562,75.23728484,75.23683734,74.77188663,74.78329786,74.6228692,74.54522784,74.54522784,28.34757977,638.5401571,74.6747502,75.07904233
52521,-23.80150565,4.306028673,-4.148399441,-7.31191349,-0.20644007,0.178543033,-1.330707087,2.999526736,76.45922274,76.45922274,76.2997516,76.3057925,75.98493381,75.88245634,75.30495984,75.21098533,75.21523656,74.73618954,74.75520827,74.60462455,74.5072931,74.5072931,28.3603317,643.9701007,74.74198767,75.15868519
52531,-23.53894188,7.528908594,-4.053473674,-7.599096592,-0.619305772,-0.139483286,-1.383677394,2.999486033,76.42089784,76.42089784,76.32231433,76.3545331,76.01666905,75.90166154,75.31834749,75.20826306,75.20803931,74.71735728,74.73122976,74.57102472,74.49047452,74.49047452,28.28855274,646.5696965,74.83891436,75.26736932
52541,-23.01110938,7.69159733,-3.969809618,-7.540560214,-0.396134698,-0.136694186,-1.422737633,2.999468975,76.39445086,76.39445086,76.49716328,76.43557979,76.10644138,75.97219118,75.36627814,75.24411128,75.21659017,74.72836942,74.76036563,74.59210565,74.50730423,74.50730423,28.7313854,648.2597977,74.93742845,75.36332002
52551,-22.29155864,8.658620345,-3.883302494,-7.724620059,-0.638831151,0.245489022,-1.339032414,2.999438345,76.37417558,76.37417558,76.47585627,76.50069955,76.17715437,76.05811901,75.46742036,75.36628588,75.33093356,74.81273078,74.82794574,74.65230219,74.54602081,74.54602081,28.64289757,655.6895902,75.02789258,75.45765821
52561,-21.16119296,8.897811127,-3.994748813,-7.515125668,-0.538384118,0.167372719,-1.31387669,2.999328168,76.36887683,76.36887683,76.63536465,76.56230903,76.23764456,76.10719776,75.51918375,75.40104434,75.3788932,74.86583679,74.89402921,74.72845455,74.63336082,74.63336082,28.67262973,654.2292015,75.12319803,75.53567741
52571,-20.56591911,8.502657632,-4.064400562,-7.492636315,-0.432370947,0.189684573,-1.564898322,2.999256837,76.35509551,76.35509551,76.70045827,76.6333333,76.30061311,76.15651732,75.57006917,75.4568522,75.44029479,74.93104223,74.94536218,74.77508889,74.66836023,74.66836023,28.88440871,653.3280221,75.19319435,75.58861756
52581,-19.21193055,9.206482688,-2.493844557,-7.765903189,-0.4909433,0.295680425,-1.06277595,2.99921241,76.32510625,76.32510625,76.92897287,76.81640321,76.4912887,76.34383593,75.73433978,75.60255151,75.55287922,75.04183678,75.03064933,74.86037618,74.74939641,74.74939641,28.57093259,654.3310649,75.22749509,75.63471507
