Timestamp,exp_heatgen,heatgen_m6,heatgen_m5,heatgen_m4,heatgen_m3,heatgen_m2,heatgen_m1,exp_flowrate,exp_inlet,m6_in,m6_out,m5_in,m5_out,m4_in,m4_out,m3_in,m3_out,m2_in,m2_out,m1_in,m1_out,exp_outlet,Tamb,DNI,m2_T_WB,m3_T_WB
45663,12.99060296,4.175114305,-0.372218638,1.982285232,5.494958303,2.936186482,-1.225722727,1.903291546,75.59439376,73.80704532,74.34664976,74.29038104,74.24227437,74.05767841,74.31387497,74.14494208,74.85512717,74.25905578,74.63853743,74.4062843,74.24786817,74.24786817,25.52117839,542.4216848,90.44807902,83.55399846
45673,12.64951194,4.161915001,-0.159262139,1.596087733,5.634732353,2.510097748,-1.094058758,1.903138948,75.59020897,73.80710127,74.34504292,74.2866437,74.26605852,74.08168644,74.28798621,74.17812391,74.9064322,74.32020645,74.64464511,74.4531147,74.31170389,74.31170389,25.59870634,542.2046571,90.4923817,83.59328838
45683,12.6561276,3.769381711,-0.432742221,1.885028845,5.696580402,2.895890263,-1.158011404,1.902980703,75.56213192,73.78369,74.27093591,74.24894495,74.1930069,74.03257605,74.27624269,74.15586398,74.89222758,74.33710315,74.71143793,74.53176654,74.38207718,74.38207718,25.490242,541.2512103,90.50117497,83.55799642
45693,13.73286747,4.019744818,-0.06403907,1.65290448,5.872520062,3.36116515,-1.109427968,1.902779504,75.54159973,73.79330315,74.31296697,74.22908373,74.2208049,74.03285252,74.2465364,74.12145877,74.88064533,74.26645032,74.70097441,74.49937541,74.35595099,74.35595099,25.43703816,539.3632803,90.46751519,83.6108891
45703,13.27222816,4.305766157,-0.24402182,1.82064898,5.448059291,3.267447739,-1.325672185,1.902632099,75.52125615,73.7702242,74.32690736,74.24879149,74.21724244,74.04226774,74.27765549,74.13400651,74.83837427,74.30763823,74.73007946,74.51997805,74.34858477,74.34858477,25.5689288,539.7214813,90.55573392,83.74961161
45713,13.7027976,4.185089637,-0.231887311,1.673399733,6.023838553,3.41944545,-1.36708846,1.902467682,75.48204128,73.73480115,74.27592907,74.23418879,74.204206,74.03057375,74.24694266,74.13260518,74.9114815,74.34427468,74.78640557,74.55594307,74.3791799,74.3791799,25.37013107,541.3639383,90.6042909,83.73143871
45723,14.58965755,4.188223447,-0.211109961,2.11283344,6.19482547,3.40887793,-1.103992781,1.902363753,75.42468136,73.71475766,74.25632036,74.19763697,74.17033917,73.99536422,74.2685664,74.0709929,74.87202141,74.32002931,74.7608179,74.56503663,74.42228367,74.42228367,25.46135216,540.7486754,90.64210421,83.74432719
45733,15.15486034,4.366470468,-0.138424382,2.209602318,6.139078914,3.640532483,-1.062399461,1.902249427,75.4183148,73.70593388,74.27057894,74.20805174,74.19015155,74.01070163,74.29643379,74.11161437,74.90548222,74.30046132,74.77123255,74.56046004,74.42307709,74.42307709,25.50851028,540.348333,90.62170382,83.75845885
45743,14.02426387,4.033891592,-0.545027246,1.806378933,5.99698839,3.560812372,-0.828780172,1.902183014,75.45832159,73.66033915,74.18199537,74.21718132,74.14669929,74.0124474,74.24604535,74.0963549,74.87187556,74.33979734,74.80027573,74.59822958,74.49105309,74.49105309,25.49878173,542.2868326,90.63334608,83.79763717
45753,15.1946057,4.284327852,-0.23703091,2.268232912,6.31501137,3.411832009,-0.847767533,1.902081817,75.50917603,73.67705668,74.23112838,74.20807092,74.17741685,74.00669325,74.300033,74.10939602,74.92608634,74.3347145,74.77595047,74.60343928,74.49380155,74.49380155,25.68050307,542.3416163,90.72222035,83.91042481
45763,24.05062082,6.810793175,-0.517170538,3.410534475,9.778635447,6.085779082,-1.517950816,1.902013882,75.53139446,73.67504766,74.2201822,74.1837492,74.14235497,73.98572768,74.25870619,74.13228609,74.91496616,74.34216559,74.82927015,74.61961658,74.49812009,74.49812009,25.55954866,543.536322,90.79976277,83.89071563
45773,23.49880234,7.077035458,-0.586994668,2.926592598,9.878207368,5.819580685,-1.615619101,1.901808818,75.57167401,73.71626474,74.28277035,74.21507926,74.16809125,74.01951922,74.25378838,74.13251458,74.92324961,74.34664535,74.81249367,74.61223756,74.48290978,74.48290978,25.8495267,543.3730245,90.77693428,83.90197361
45783,23.31445919,6.683401459,-0.470479471,3.072290809,9.542727727,6.05665938,-1.570140715,1.901746804,75.59286999,73.71601091,74.24364468,74.21613784,74.17899495,74.04272941,74.28527722,74.14587957,74.89924826,74.35911525,74.83726968,74.62537864,74.50142091,74.50142091,25.62818857,544.430771,90.68569534,83.63523328
45793,21.07724518,5.039496705,-0.300408581,2.978583318,8.981014596,5.50083049,-1.122271347,1.901629146,75.60811724,73.7520495,74.14992672,74.15061069,74.1268929,73.98033445,74.2154989,74.09735751,74.80642457,74.26561937,74.69991971,74.52203828,74.43343297,74.43343297,25.5023508,547.38909,87.53634653,82.11416445
45803,18.74064192,4.656724564,-0.838805553,2.944324034,7.917588223,4.791926821,-0.73111617,1.901467516,75.63488574,73.81565053,74.18333846,74.16954826,74.10331744,73.98651817,74.21899754,74.10712124,74.73228204,74.21295623,74.59131952,74.41343772,74.3557099,74.3557099,25.24656057,548.4710677,86.37513364,81.70887884
45813,20.26976616,4.690507739,-0.031169989,4.097440331,8.220323721,4.394944246,-1.102279889,1.90135807,75.66461803,73.83706813,74.20744485,74.18585585,74.18339458,73.99700825,74.32055457,74.12947019,74.77857188,74.22747378,74.57451191,74.37201741,74.28497804,74.28497804,25.54489006,549.9818332,85.67743741,81.70977892
45823,18.98409236,4.661101363,0.011333774,3.286798891,7.950588619,4.099972131,-1.02570242,1.901230261,75.69275791,73.85325119,74.22133063,74.20012349,74.2010185,74.02828124,74.2878343,74.17976202,74.80760681,74.23883262,74.56260062,74.39478752,74.3137895,74.3137895,25.63151455,550.2568051,85.50696436,81.70625868
